cpv_code;cpv_description;total_tenders
34996000-5;Drogowe urządzenia kontrolne, bezpieczeństwa lub sygnalizacyjne;37
39711120-6;Zamrażarki;37
42995000-7;Różne maszyny czyszczące;37
44611200-8;Respiratory;37
45211320-8;Roboty budowlane w zakresie altan;37
45232100-3;Roboty pomocnicze w zakresie wodociągów;37
45232454-9;Roboty budowlane w zakresie zbiorników wód deszczowych;37
45432114-6;Roboty w zakresie podłóg drewnianych;37
50111000-6;"Zarządzanie flotą pojazdów; usługi konserwacyjne i naprawcze";37
50411000-9;Usługi w zakresie napraw i konserwacji aparatury pomiarowej;37
79714000-2;Usługi w zakresie nadzoru;37
80550000-4;Usługi szkolenia w dziedzinie bezpieczeństwa;37
03222000-3;Owoce i orzechy;36
09111200-2;Paliwa na bazie węgla;36
32333200-8;Kamery wideo;36
33126000-9;Urządzenia stomatologiczne;36
33183000-6;Dodatkowe wyroby ortopedyczne;36
38434570-2;Analizatory hematologiczne;36
39500000-7;Wyroby włókiennicze;36
50433000-9;Usługi kalibracyjne;36
71500000-3;Usługi związane z budownictwem;36
80540000-1;Usługi szkolenia w dziedzinie środowiska naturalnego;36
09111100-1;Węgiel (minerał;35
15240000-2;Ryby puszkowane i pozostałe ryby konserwowane lub przetworzone;35
18832000-0;Obuwie specjalne;35
24960000-1;Różne produkty chemiczne;35
30238000-6;Zautomatyzowane urządzenia biblioteczne;35
33124110-9;Systemy diagnostyczne;35
33130000-0;Instrumenty i urządzenia stomatologiczne i specjalistyczne;35
33171100-0;Przyrządy do anestezji;35
33182000-9;Urządzenia do wspomagania serca;35
34430000-0;Rowery;35
34928300-1;Bariery ochronne;35
38552000-9;Mierniki elektroniczne;35
42410000-3;Urządzenia podnośnikowe i przeładunkowe;35
42950000-0;Części maszyn ogólnego zastosowania;35
48611000-4;Pakiety oprogramowania dla baz danych;35
50313100-3;Usługi w zakresie naprawy fotokopiarek;35
55500000-5;Usługi bufetowe oraz w zakresie podawania posiłków;35
72416000-9;Dostawcy usług aplikacyjnych;35
77112000-8;Wynajem kosiarek lub sprzętu rolniczego wraz z operatorem;35
79132100-9;Usługi uwierzytelniania podpisu elektronicznego;35
79313000-1;Realizacja usług kontrolnych;35
90920000-2;Usługi w zakresie odkażania urządzeń;35
92312210-6;Usługi świadczone przez autorów;35
15412000-9;Tłuszcze;34
18830000-6;Obuwie ochronne;34
30144400-4;Automaty do pobierania opłat;34
31521000-4;Lampy;34
31524000-5;Oprawy oświetleniowe sufitowe lub ścienne;34
31720000-9;Urządzenia elektromechaniczne;34
33169100-3;Lasery chirurgiczne;34
34223000-6;Przyczepy i naczepy;34
34926000-4;Sprzęt do kontroli parkingów samochodowych;34
37500000-3;Gry i zabawki, wyposażenie parków zabaw;34
42300000-9;Piece przemysłowe lub laboratoryjne, piece do spopielania i paleniska;34
43312400-7;Walce drogowe;34
45233124-4;Roboty budowlane w zakresie arterii drogowych;34
45233150-5;Roboty w zakresie regulacji ruchu;34
45442110-1;Malowanie budynków;34
50510000-3;Usługi w zakresie napraw i konserwacji pomp, zaworów, zaworów odcinających i pojemników metalowych;34
64211000-8;Publiczne usługi telefoniczne;34
71351910-5;Usługi geologiczne;34
79140000-7;Doradztwo prawne i usługi informacyjne;34
79211000-6;Usługi księgowe;34
15831200-4;Cukier biały;33
24315000-5;Różne chemikalia nieorganiczne;33
34144430-1;Pojazdy do zamiatania dróg;33
34930000-5;Urządzenia wodne;33
37300000-1;Instrumenty muzyczne i ich części;33
38433100-0;Spektrometry masy;33
38652120-7;Projektory wideo;33
39522520-8;Łóżka polowe;33
45421131-1;Instalowanie drzwi;33
48460000-0;Analityczne, naukowe, matematyczne lub prognozujące pakiety oprogramowania;33
60171000-7;Wynajem samochodów osobowych wraz z kierowcą;33
65210000-8;Przesył gazu;33
71356000-8;Usługi techniczne;33
85321000-5;Administracyjne usługi społeczne;33
90721700-4;Usługi ochrony gatunków zagrożonych;33
03221111-7;Burak ćwikłowy;32
15880000-0;Specjalne produkty odżywcze;32
24300000-7;Podstawowe chemikalia nieorganiczne i organiczne;32
30124000-4;Części i akcesoria do maszyn biurowych;32
31213300-5;Szafy kablowe;32
32342420-2;Studyjne konsole mikserskie;32
33141323-0;Igły do biopsji;32
33141630-5;Filtry osocza krwi;32
33185300-3;Implanty otolaryngologiczne;32
33651520-9;Immunoglobuliny;32
38341000-7;Aparatura do mierzenia promieniowania;32
38519000-6;Różne kompozycje do mikroskopów;32
38951000-6;Łańcuchowa reakcja polimeryzacji katalizowana przez polimerazę (PCR;32
39111200-5;Siedziska teatralne;32
39510000-0;Wyroby włókiennicze w rodzaju używanych w gospodarstwie domowym;32
39831200-8;Detergenty;32
41100000-0;Woda naturalna;32
44132000-4;Elementy przepustów;32
44811000-8;Farba drogowa;32
45213311-6;Roboty budowlane w zakresie przystanków autobusowych;32
45242000-5;Budowa infrastruktury wypoczynkowej na terenach nadwodnych;32
45262300-4;Betonowanie;32
45331230-7;Instalowanie urządzeń chłodzących;32
48200000-0;Pakiety oprogramowania dla sieci, internetu i intranetu;32
55510000-8;Usługi bufetowe;32
72710000-0;Usługi w zakresie lokalnej sieci komputerowej;32
77210000-5;Usługi pozyskiwania drewna;32
85149000-5;Usługi farmaceutyczne;32
90511200-4;Usługi gromadzenia odpadów pochodzących z gospodarstw domowych;32
03221100-7;Warzywa korzeniowe i bulwiaste;31
14211100-4;Piasek naturalny;31
30192800-9;Etykiety samoprzylepne;31
32570000-9;Urządzenia łączności;31
33141621-9;Zestawy używane w przypadku nietrzymania moczu;31
33167000-8;Lampy chirurgiczne;31
33194120-3;Artykuły do infuzji;31
33692210-2;Preparaty odżywiania pozajelitowego;31
34330000-9;Części zapasowe do pojazdów do transportu towarów, pojazdów pasażersko-towarowych i samochodów;31
34911100-7;Wózki;31
35200000-6;Sprzęt policyjny;31
35815100-1;Kamizelki kuloodporne;31
39831240-0;Preparaty czyszczące;31
42623000-9;Frezarki;31
43324100-1;Urządzenia do basenów kąpielowych;31
44221220-3;Drzwi przeciwpożarowe;31
45216000-4;Roboty budowlane w zakresie budowy obiektów budowlanych dla służb porządku publicznego lub służb ratunkowych oraz wojskowych obiektów budowlanych;31
45454100-5;Odnawianie;31
48813100-1;Elektroniczne tablice informacyjne;31
50116000-1;Usługi w zakresie napraw i konserwacji poszczególnych części pojazdów;31
50312300-8;Konserwacja i naprawa sieciowego sprzętu do przetwarzania danych;31
55241000-1;Usługi w zakresie ośrodków wypoczynkowych;31
71333000-1;Mechaniczne usługi inżynieryjne;31
79210000-9;Usługi księgowe i audytorskie;31
85148000-8;Usługi analizy medycznej;31
90612000-0;Usługi zamiatania ulic;31
92312000-1;Usługi artystyczne;31
98351000-8;Usługi zarządzania parkingami;31
24958000-4;Produkty chemiczne dla przemysłu naftowego i gazowniczego;30
30236110-6;Pamięć o dostępie swobodnym (RAM;30
30237280-5;Akcesoria zasilające;30
32230000-4;Radiowa aparatura nadawcza z aparaturą odbiorczą;30
33124000-5;Urządzenia i wyroby diagnostyczne i radiodiagnostyczne;30
33160000-9;Techniki operacyjne;30
33711900-6;Mydło;30
33771200-7;Pieluszki dla niemowląt;30
34144431-8;Zamiatarki zasysające;30
34731000-0;Części statków powietrznych;30
35113000-9;Sprzęt bezpieczeństwa;30
38550000-5;Liczniki;30
38653400-1;Ekrany projekcyjne;30
42959000-3;Zmywarki do naczyń inne niż używane w gospodarstwie domowym;30
45215221-2;Roboty budowlane w zakresie ośrodków opieki dziennej;30
45216100-5;Roboty budowlane w zakresie budowy obiektów budowlanych dla służb porządku publicznego lub służb ratunkowych;30
50241100-7;Usługi w zakresie naprawy statków;30
71222100-1;Usługi kartograficzne w zakresie obszarów miejskich;30
71521000-6;Usługi nadzorowania placu budowy;30
72262000-9;Usługi rozbudowy oprogramowania;30
79620000-6;Usługi w zakresie pozyskiwania personelu, w tym pracowników sezonowych;30
79821100-6;Usługi korektorskie;30
80412000-5;Usługi szkół pilotażu;30
85112200-9;Usługi leczenia ambulatoryjnego;30
90430000-0;Usługi likwidacji ścieków;30
03121000-5;Produkty ogrodnicze;29
09133000-0;Skroplony gaz ropopochodny (LPG;29
09331100-9;Kolektory słoneczne do produkcji ciepła;29
19200000-8;Tkaniny włókiennicze i podobne;29
30197000-6;Drobny sprzęt biurowy;29
31625000-3;Alarmy przeciwpożarowe;29
32551200-2;Centrale telefoniczne;29
33141122-1;Klamry chirurgiczne;29
33141750-2;Sztuczne stawy;29
39143112-4;Materace;29
39241130-3;Noże specjalistyczne;29
42414100-2;Dźwigi;29
42416130-5;Windy mechaniczne;29
42652000-1;Ręczne narzędzia elektromechaniczne;29
44114000-2;Beton;29
44410000-7;Artykuły łazienkowe i kuchenne;29
45212211-8;Roboty budowlane w zakresie lodowisk;29
45262600-7;Różne specjalne roboty budowlane;29
45432111-5;Kładzenie wykładzin elastycznych;29
50430000-8;Usługi w zakresie napraw i konserwacji urządzeń precyzyjnych;29
66516100-1;Usługi ubezpieczenia pojazdów mechanicznych od odpowiedzialności cywilnej;29
70300000-4;Obsługa nieruchomości realizowana na zasadzie bezpośredniej płatności lub umowy;29
71420000-8;Architektoniczne usługi zagospodarowania terenu;29
71541000-2;Usługi zarządzania projektem budowlanym;29
77340000-5;Usługi okrzesywania drzew oraz przycinania żywopłotów;29
30234500-3;Pamięci do przechowywania danych;28
33141220-8;Kaniula;28
33158000-2;Aparatura do terapii elektrycznej, elektromagnetycznej i mechanicznej;28
33158210-7;Stymulatory;28
33182220-7;Zastawki serca;28
33942000-5;Środki transportu zwłok;28
34928510-6;Uliczne słupy oświetleniowe;28
38910000-7;Sprzęt do monitorowania i testowania stanu higienicznego;28
39171000-1;Witryny wystawowe;28
39711310-5;Elektryczne zaparzacze do kawy;28
44482000-2;Urządzenia przeciwpożarowe;28
45312000-7;Instalowanie systemów alarmowych i anten;28
45317300-5;Elektryczne elektrycznych urządzeń rozdzielczych;28
48321000-4;Pakiety oprogramowania do projektowania wspomaganego komputerowo (CAD;28
50225000-8;Usługi w zakresie konserwacji torów kolejowych;28
50531300-9;Usługi w zakresie napraw i konserwacji sprężarek;28
50850000-8;Usługi w zakresie napraw i konserwacji mebli;28
50882000-1;Usługi w zakresie napraw i konserwacji sprzętu restauracyjnego;28
63110000-3;Usługi przeładunku towarów;28
63712300-6;Usługi w zakresie eksploatacji mostów i tuneli;28
71223000-7;Usługi architektoniczne w zakresie rozbudowy obiektów budowlanych;28
79961000-8;Usługi fotograficzne;28
80533200-1;Kursy komputerowe;28
80590000-6;Usługi seminaryjne;28
09112200-9;Torf;27
15610000-7;Produkty przemiału ziarna;27
15812000-3;Wyroby ciastkarskie i ciasta;27
30121200-5;Urządzenia fotokopiujące;27
30199760-5;Etykiety;27
33954000-2;Zestawy do zbierania dowodów biologicznych;27
35300000-7;Broń, amunicja i podobne elementy;27
38515200-0;Mikroskopy fluorescencyjne;27
42415100-9;Pojazdy z podnośnikami;27
42662000-4;Sprzęt spawalniczy;27
45212210-1;Roboty budowlane w zakresie jednofunkcyjnych ośrodków sportowych;27
45215200-9;Roboty budowlane w zakresie budowy obiektów budowlanych opieki społecznej;27
45233262-3;Roboty budowlane w zakresie stref ruchu pieszego;27
45262900-0;Roboty balkonowe;27
45314000-1;Instalowanie urządzeń telekomunikacyjnych;27
48771000-3;Pakiety oprogramowania użytkowego ogólnego;27
48780000-9;Pakiety oprogramowania do zarządzania systemem, przechowywaniem i zawartością;27
03413000-8;Drewno opałowe;26
15431100-9;Margaryna;26
15851100-9;Makaron niegotowany;26
16720000-8;Ciągniki używane;26
30125000-1;Części i akcesoria do aparatów fotokopiujących;26
31100000-7;Elektryczne silniki, generatory i transformatory;26
31518200-2;Oświetlenie awaryjne;26
31524110-9;Lampy używane na salach operacyjnych;26
31711000-3;Artykuły elektroniczne;26
32333100-7;Rejestratory obrazu wideo;26
32552600-3;Domofony;26
33141119-7;Kompresy;26
33141540-7;Albumina;26
33193000-9;Pojazdy inwalidzkie, wózki inwalidzkie i podobne urządzenia;26
33651100-9;Środki antybakteryjne do użytku ogólnoustrojowego;26
33730000-6;Produkty do pielęgnacji oczu i soczewki korekcyjne;26
34971000-4;Urządzenia bezpośredniego monitorowania;26
35330000-6;Amunicja;26
37800000-6;Wyroby rękodzielnicze i artystyczne;26
38433300-2;Analizatory widma;26
39121000-6;Biurka i stoły;26
42122220-8;Pompy ściekowe;26
44112000-8;Różne konstrukcje budowlane;26
44171000-9;Płyty (budowlane;26
44211000-2;Budynki z gotowych elementów;26
44220000-8;Stolarka budowlana;26
45112714-3;Roboty w zakresie kształtowania cmentarzy;26
45211100-0;Roboty budowlane w zakresie domów;26
45212360-7;Roboty budowlane w zakresie obiektów sakralnych;26
45233292-2;Instalowanie urządzeń ochronnych;26
45262330-3;Roboty w zakresie naprawy betonu;26
51110000-6;Usługi instalowania sprzętu elektrycznego;26
64214400-3;Wynajem kablowych łączy telefonicznych;26
79421200-3;Usługi projektowe inne niż w zakresie robót budowlanych;26
80410000-1;Różne usługi szkolne;26
90513300-9;Usługi spalania odpadów;26
90513800-4;Usługi obróbki osadów;26
90722200-6;Usługi usuwania zanieczyszczeń ze środowiska;26
90742100-1;Usługi w zakresie kontroli hałasu;26
03212000-0;Ziemniaki i warzywa suszone;25
03419100-1;Produkty z drewna ciętego;25
15310000-4;Ziemniaki i produkty z ziemniaków;25
15320000-7;Soki owocowe i warzywne;25
15851000-8;Produkty mączne;25
16130000-5;Siewniki, sadzarki lub maszyny lub przesadzania;25
18512200-3;Medale;25
31434000-7;Akumulatory litowe;25
31711140-6;Elektrody;25
32260000-3;Urządzenia do przesyłu danych;25
33141411-4;Skalpele i noże chirurgiczne;25
33158200-4;Urządzenia do elektroterapii;25
33172000-6;Urządzenia do anestezji i resuscytacji;25
33610000-9;Produkty lecznicze dla przewodu pokarmowego i metabolizmu;25
35125100-7;Czujniki;25
38436200-2;Wyparki rotacyjne;25
38437100-8;Pipety;25
39151200-7;Stoły robocze;25
42621000-5;Tokarki;25
44611000-6;Zbiorniki;25
45111230-9;Roboty w zakresie stabilizacji gruntu;25
45212353-5;Roboty budowlane w zakresie pałaców;25
45252000-8;Roboty budowlane w zakresie budowy zakładów uzdatniania, oczyszczania oraz spalania odpadów;25
45317000-2;Inne instalacje elektryczne;25
60120000-5;Usługi taxi;25
63726600-0;Usługi obsługiwania statków;25
71313450-4;Monitoring ekologiczny projektu budowlanego;25
71315000-9;Usługi budowlane;25
71351900-2;Usługi geologiczne, oceanograficzne i hydrologiczne;25
71355100-2;Usługi fotogrametryczne;25
72415000-2;Usługi hostingowe dla stron WWW;25
77211300-5;Usługi selekcji drzew;25
79120000-1;Usługi doradztwa w zakresie patentów i praw autorskich;25
79414000-9;Usługi doradcze w zakresie zarządzania zasobami ludzkimi;25
80330000-6;Usługi edukacji w zakresie bezpieczeństwa;25
98311200-8;Usługi prowadzenia pralni;25
15511100-4;Mleko pasteryzowane;24
15511700-0;Mleko w proszku;24
15842000-2;Czekolada i wyroby cukiernicze;24
18200000-1;Odzież wierzchnia;24
24311520-8;Wodorotlenek sodu;24
30237131-6;Karty elektroniczne;24
31170000-8;Transformatory;24
32200000-5;Aparatura transmisyjna do radiotelefonii, radiotelegrafii, transmisji radiowej i telewizyjnej;24
33197000-7;Medyczne urządzenia komputerowe;24
33692100-8;Roztwory do wstrzykiwania;24
34352100-0;Opony do pojazdów ciężarowych;24
34410000-4;Motocykle;24
34921000-9;Sprzęt do konserwacji dróg;24
34928500-3;Oświetleniowy sprzęt uliczny;24
35113410-6;Odzież ochrony biologicznej i chemicznej;24
37453300-1;Dyski;24
38432100-3;Aparatura do analizowania gazów;24
39132100-7;Szafy na akta;24
39140000-5;Meble domowe;24
39173000-5;Meble do przechowywania;24
39221130-7;Pojemniki na żywność;24
39298900-6;Różne wyroby dekoracyjne;24
39711000-9;Elektryczny sprzęt gospodarstwa domowego do użytku ze środkami spożywczymi;24
39713100-4;Zmywarki do naczyń;24
42600000-2;Obrabiarki;24
44163100-1;Rury;24
44423000-1;Artykuły różne;24
45214230-1;Roboty budowlane w zakresie szkół specjalnych;24
45243400-6;Roboty w zakresie budowy plaż;24
55250000-7;Usługi w zakresie krótkoterminowego wynajmu umeblowanych miejsc noclegowych;24
72200000-7;Usługi doradcze w zakresie programowania oprogramowania;24
72221000-0;Usługi doradcze w zakresie analizy biznesowej;24
72244000-7;Usługi prototypowania;24
72317000-0;Usługi przechowywania danych;24
72590000-7;Profesjonalne usługi komputerowe;24
79411100-9;Usługi doradcze w zakresie rozwoju działalności gospodarczej;24
79980000-7;Usługi prenumeraty;24
80522000-9;Seminaria szkoleniowe;24
90460000-9;Usługi opróżniania basenów septycznych lub zbiorników septycznych;24
90524200-8;Usługi usuwania odpadów szpitalnych;24
09331000-8;Baterie słoneczne;23
14212210-5;Mieszanka piasku i żwiru;23
16311100-9;Kosiarki do pielęgnacji trawników, zieleni parkowej lub terenów sportowych;23
18331000-8;Koszulki;23
22990000-6;Papier gazetowy, papier czerpany i innego rodzaju papier lub tektura w rodzaju używanych do celów graficznych;23
31682520-1;Awaryjne urządzenia wyłączeniowe;23
32562000-0;Kable światłowodowe;23
33114000-2;Urządzenia do spektroskopii;23
34143000-1;Pojazdy do utrzymania dróg w okresie zimy;23
35111000-5;Sprzęt gaśniczy;23
35240000-8;Syreny;23
37535000-7;Karuzele, huśtawki, wyposażenie strzelnic i parków zabaw;23
38295000-9;Sprzęt topograficzny;23
38341300-0;Przyrządy do mierzenia wielkości elektrycznych;23
38425500-5;Aparaty do oceny wytrzymałości;23
38581000-1;Urządzenia do prześwietlania bagażu;23
38634000-8;Mikroskopy optyczne;23
42514000-2;Maszyny i aparatura do filtrowania lub oczyszczania gazów;23
44112220-6;Podłogi z tworzyw sztucznych;23
44316400-2;Drobne artykuły metalowe;23
45243000-2;Roboty w zakresie ochrony przybrzeżnej;23
45262400-5;Wnoszenie konstrukcji ze stali konstrukcyjnej;23
48420000-8;Pakiety oprogramowania do zarządzania urządzeniami i zestawy pakietów oprogramowania;23
50511100-1;Usługi w zakresie napraw i konserwacji pomp cieczowych;23
71315400-3;Usługi inspekcji budowlanej;23
72243000-0;Usługi programowania;23
72265000-0;Usługi konfiguracji oprogramowania;23
80532000-2;Usługi szkolenia w dziedzinie zarządzania;23
80560000-7;Usługi szkolenia w dziedzinie zdrowia i pierwszej pomocy;23
15131120-2;Produkty wędliniarskie;22
15613000-8;Produkty z ziaren zbóż;22
15882000-4;Produkty dietetyczne;22
16400000-9;Maszyny natryskujące używane w rolnictwie lub ogrodnictwie;22
33165000-4;Przyrządy do kriochirurgii i krioterapii;22
33181100-3;Urządzenia do hemodializy;22
33192160-1;Nosze;22
35613000-4;Bezzałogowe pojazdy powietrzne;22
38221000-0;Geograficzne systemy informacyjne (GIS lub równorzędne;22
38420000-5;Przyrządy do mierzenia przepływu, poziomu i ciśnienia cieczy i gazów;22
38621000-4;Aparatura światłowodowa;22
39721320-1;Osuszacze powietrza;22
42996100-5;Rozdrabniarki;22
43313100-1;Pługi odśnieżające lemieszowe;22
44221300-8;Bramy;22
45111240-2;Roboty w zakresie odwadniania gruntu;22
45213330-5;Roboty budowlane w zakresie budowy obiektów budowlanych związanych z transportem lotniczym;22
45235000-3;Roboty budowlane w zakresie lotnisk, pasów startowych i placów manewrowych;22
45241500-3;Roboty budowlane w zakresie nabrzeży;22
45262520-2;Roboty murowe;22
45313000-4;Instalowanie wind i ruchomych schodów;22
48151000-1;Komputerowy system sterujący;22
48520000-9;Pakiety oprogramowania multimedialnego;22
50514100-2;Usługi w zakresie napraw i konserwacji zbiorników;22
51100000-3;Usługi instalowania urządzeń elektrycznych i mechanicznych;22
64216200-5;Elektroniczne usługi informacyjne;22
65200000-5;Przesył gazu i podobne usługi;22
66512100-3;Usługi ubezpieczenia od następstw nieszczęśliwych wypadków;22
66512210-7;Usługi dobrowolnego ubezpieczenia zdrowotnego;22
70310000-7;Usługi wynajmu lub sprzedaży obiektów budowlanych;22
71317000-3;Usługi doradcze w zakresie kontroli i zapobiegania zagrożeniom;22
71530000-2;Doradcze usługi budowlane;22
72230000-6;Usługi w zakresie rozbudowy oprogramowania;22
80531200-7;Usługi szkolenia technicznego;22
03416000-9;Odpady drzewne;21
09320000-8;Para, gorąca woda i podobne produkty;21
14000000-1;Górnictwo, metale podstawowe i produkty pokrewne;21
15812200-5;Ciasta;21
15831000-2;Cukier;21
15884000-8;Produkty dla niemowląt;21
30144200-2;Maszyny do wydawania biletów;21
30233140-4;Urządzenia do przechowywania dostępu bezpośredniego (DASD;21
31644000-2;Różne rejestratory danych;21
31712110-4;Elektroniczne układy scalone i mikromoduły;21
32418000-6;Sieć radiowa;21
33141111-1;Opatrunki przylepne;21
33141550-0;Heparyna;21
33157800-3;Urządzenia do podawania tlenu;21
34326200-0;Podnośniki samochodowe;21
34421000-7;Skutery silnikowe;21
34928110-2;Bariery drogowe;21
35112100-3;Manekiny do ćwiczeń na wypadek sytuacji awaryjnych;21
35811300-5;Mundury wojskowe;21
35815000-0;Odzież kuloodporna;21
38418000-8;Kalorymetry;21
39225710-5;Butelki;21
42341000-8;Piece przemysłowe;21
42515000-9;Kotły lokalnych układów ogrzewania;21
44110000-4;Materiały konstrukcyjne;21
45223110-0;Instalowanie konstrukcji metalowych;21
45233320-8;Fundamentowanie dróg;21
48311000-1;Pakiety oprogramowania do zarządzania dokumentami;21
50232110-4;Obsługa instalacji oświetlenia publicznego;21
65000000-3;Obiekty użyteczności publicznej;21
71318000-0;Inżynieryjne usługi doradcze i konsultacyjne;21
72720000-3;Usługi w zakresie rozległej sieci komputerowej;21
73300000-5;Projekt i realizacja badań oraz rozwój;21
77312100-1;Usługi odchwaszczania;21
79200000-6;Usługi księgowe, audytorskie i podatkowe;21
79811000-2;Usługi drukowania cyfrowego;21
85310000-5;Usługi pracy społecznej;21
90714400-9;Usługi audytu środowiskowego specyficznego dla danej działalności;21
90913000-0;Usługi czyszczenia zbiorników i rezerwuarów;21
92111100-3;Produkcja filmów instruktażowych oraz taśm wideo;21
92221000-6;Usługi produkcji telewizyjnej;21
98312000-3;Usługi czyszczenia wyrobów włókienniczych;21
14721000-1;Glin;20
15331400-1;Warzywa konserwowane i/lub puszkowane;20
22458000-5;Pozostałe druki;20
24111000-5;Wodór, argon, gazy szlachetne, azot i tlen;20
24452000-7;Środki owadobójcze;20
24951220-3;Środki gaśnicze;20
30121000-3;Urządzenia fotokopiujące i termokopiujące;20
30231100-8;Terminale komputerowe;20
30231310-3;Wyświetlacze płaskie;20
33121100-5;Elektroencefalografy;20
33154000-4;Urządzenia do mechanoterapii;20
33194000-6;Urządzenia i przyrządy do transfuzji i infuzji;20
33696800-3;Nośniki kontrastu rentgenowskiego;20
34137000-6;Używane pojazdy do transportu towarów;20
34515000-0;Konstrukcje pływające;20
35810000-5;Sprzęt osobisty;20
38434560-9;Analizatory chemiczne;20
39294000-9;Aparatura i sprzęt do celów demonstracyjnych;20
39831300-9;Środki do czyszczenia podłóg;20
42122450-9;Pompy próżniowe;20
42200000-8;Maszyny do obróbki żywności, napojów i tytoniu oraz podobne części;20
42415210-3;Pojazdy techniczne wyposażone w urządzenia podnośnikowe;20
42417000-2;Podnośniki i przenośniki;20
42968000-9;Maszyny wydające;20
44500000-5;Narzędzia, zamki, klucze, zawiasy, mocowania, łańcuchy i sprężyny;20
44613300-3;Standardowe pojemniki do przewozu ładunków;20
45213220-1;Roboty budowlane w zakresie magazynów;20
45213315-4;Roboty budowlane w zakresie wiat na przystankach autobusowych;20
45216200-6;Roboty budowlane w zakresie budowy wojskowych obiektów budowlanych oraz instalacji;20
45314320-0;Instalowanie okablowania komputerowego;20
45442200-9;Nakładanie powłok antykorozyjnych;20
48422000-2;Zestawy pakietów oprogramowania;20
50114100-8;Usługi w zakresie naprawy ciężarówek;20
51000000-9;Usługi instalowania (z wyjątkiem oprogramowania komputerowego;20
51610000-1;Usługi instalowania urządzeń komputerowych i przetwarzania informacji;20
55511000-5;Usługi bufetowe oraz usługi kawiarniane dla ograniczonej grupy klientów;20
55523000-2;Usługi zaprowiantowania innych przedsiębiorstw lub instytucji;20
63120000-6;Usługi składowania i magazynowania;20
66516400-4;Usługi ubezpieczenia od ogólnej odpowiedzialności cywilnej;20
71317100-4;Usługi doradcze w zakresie kontroli i ochrony przeciwpożarowej i przeciwwybuchowej;20
71321000-4;Usługi inżynierii projektowej dla mechanicznych i elektrycznych instalacji budowlanych;20
71631200-2;Usługi kontroli technicznej samochodów;20
72319000-4;Usługi dostarczania danych;20
77230000-1;Usługi doraźne dotyczące leśnictwa;20
79723000-8;Usługi analizy odpadów;20
79953000-9;Usługi w zakresie organizacji festiwali;20
79960000-1;Usługi fotograficzne i pomocnicze;20
80100000-5;Usługi szkolnictwa podstawowego;20
80210000-9;Usługi edukacji technicznej i zawodowej na poziomie szkoły średniej;20
90481000-2;Eksploatacja zakładów oczyszczania ścieków;20
90670000-4;Usługi w zakresie dezynfekcji oraz tępienia szkodników na obszarach miejskich lub wiejskich;20
98336000-7;Usługi treningowe, poprawiające kondycję i w zakresie aerobiku;20
98371110-8;Usługi cmentarne;20
15542100-0;Ser twarogowy;19
15894210-6;Posiłki szkolne;19
18230000-0;Odzież różna;19
22113000-5;Książki biblioteczne;19
22600000-6;Tusz;19
22993400-1;Papier lub tektura faliste;19
31712114-2;Zintegrowane obwody elektroniczne;19
32321100-0;Sprzęt filmowy;19
33192200-4;Stoły medyczne;19
33771000-5;Toaletowe produkty z papieru;19
34223100-7;Naczepy;19
34521000-5;Łodzie specjalistyczne;19
35331000-3;Amunicja do broni palnej i amunicja bojowa;19
39121100-7;Biurka;19
39181000-4;Stoły laboratoryjne;19
39291000-8;Wyroby pralnicze;19
39514200-0;Ścierki;19
39715200-9;Urządzenia grzewcze;19
42415000-8;Wózki widłowe, pojazdy techniczne, kolejowe wózki ciągnące;19
42912310-8;Aparatura do filtrowania wody;19
43812000-8;Piły;19
44191300-8;Płyta wiórowa;19
44212320-8;Konstrukcje różne;19
44511000-5;Narzędzia ręczne;19
44617100-9;Pudła kartonowe;19
45236000-0;Wyrównywanie terenu;19
45247200-2;Roboty w zakresie budowy tam i innych konstrukcji stałych;19
45315600-4;Instalacje niskiego napięcia;19
45421145-2;Instalowanie rolet;19
45432000-4;Kładzenie i wykładanie podłóg, ścian i tapetowanie ścian;19
71314000-2;Usługi energetyczne i podobne;19
71322500-6;Usługi inżynierii projektowej w zakresie sygnalizacji ruchu drogowego;19
72220000-3;Usługi doradcze w zakresie systemów i doradztwo techniczne;19
75251100-1;Usługi służb pożarniczych;19
77211000-2;Usługi uboczne związane z pozyskiwaniem drewna;19
79992000-4;Usługi recepcyjne;19
85300000-2;Usługi pracy społecznej i podobnej;19
90420000-7;Usługi obróbki ścieków;19
90713000-8;Usługi konsultacyjne w zakresie zagadnień dotyczących środowiska;19
90923000-3;Usługi odszczurzania;19
92351100-7;Usługi prowadzenia loterii;19
92370000-5;Usługi techników dźwięku;19
03417000-6;Wióry drzewne;18
09131100-7;Naftowe paliwa lotnicze;18
15861000-1;Kawa;18
16500000-0;Przyczepy lub naczepy samozaładowcze i wyładowcze do celów rolniczych;18
16730000-1;Ciągniki trakcyjne;18
18141000-9;Rękawice robocze;18
30199230-1;Koperty;18
31127000-2;Prądnice awaryjne;18
31682000-0;Wyroby elektryczne;18
33141623-3;Zestawy pierwszej pomocy;18
33182300-2;Urządzenia do chirurgii serca;18
33186000-7;Pozaustrojowe układy krążeniowe;18
33620000-2;Produkty lecznicze dla krwi, organów krwiotwórczych oraz układu krążenia;18
34142100-5;Pojazdy ciężarowe z ruchomą platformą;18
35113420-9;Odzież do ochrony jądrowej i radiologicznej;18
